#format table ## [Custom WaveView] saved 17:43:25 Mon Sep 28 2020
#logic 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 
 TIME 0x|0|v(sen_fout_col_p<0>)-0|v(sen_fout_col_n<0>) 0x|0|v(sen_fout_col_p<1>)-0|v(sen_fout_col_n<1>) 0x|0|v(sen_fout_col_p<2>)-0|v(sen_fout_col_n<2>) 0x|0|v(sen_fout_col_p<3>)-0|v(sen_fout_col_n<3>) 0x|0|v(sen_fout_col_p<4>)-0|v(sen_fout_col_n<4>) 0x|0|v(sen_fout_col_p<5>)-0|v(sen_fout_col_n<5>) 0x|0|v(sen_fout_col_p<6>)-0|v(sen_fout_col_n<6>) 0x|0|v(sen_fout_col_p<7>)-0|v(sen_fout_col_n<7>) 0x|0|v(sen_fout_row_p<0>)-0|v(sen_fout_row_n<0>) 0x|0|v(sen_fout_row_p<1>)-0|v(sen_fout_row_n<1>) 0x|0|v(sen_fout_row_p<2>)-0|v(sen_fout_row_n<2>) 0x|0|v(sen_fout_row_p<3>)-0|v(sen_fout_row_n<3>) 0x|0|v(sen_fout_row_p<4>)-0|v(sen_fout_row_n<4>) 0x|0|v(sen_fout_row_p<5>)-0|v(sen_fout_row_n<5>) 0x|0|v(sen_fout_row_p<6>)-0|v(sen_fout_row_n<6>) 0x|0|v(sen_fout_row_p<7>)-0|v(sen_fout_row_n<7>) 

* TIME       C0  C1  C2  C3  C4  C5  C6  C7  R0  R1  R2  R3  R4  R5  R6  R7
 1.00000E-04 800 801 800 801 7FF 7FE 7FF 7FE 806 805 806 7F8 864 806 7F5 7F7 
 1.00000E-04 800 801 800 801 7FF 7FE 7FF 7FE 806 806 809 800 851 7FD 7F2 7F7 
 1.00250E-04 800 801 800 801 7FF 7FE 7FF 7FE 806 807 80C 809 839 7F3 7EF 7F6 
 1.00500E-04 801 801 801 801 7FE 7FE 7FE 7FE 806 808 80F 811 81F 7EA 7EC 7F6 
 1.00750E-04 801 801 801 801 7FE 7FE 7FE 7FE 806 808 812 81A 803 7E1 7EA 7F6 
 1.01000E-04 801 801 801 801 7FE 7FE 7FE 7FE 806 808 814 821 7E7 7D9 7E8 7F6 
 1.01250E-04 801 801 801 801 7FE 7FE 7FE 7FE 805 808 816 828 7CB 7D2 7E7 7F7 
 1.01500E-04 801 801 800 800 7FE 7FF 7FE 7FE 805 808 817 82E 7B2 7CC 7E6 7F8 
 1.01750E-04 801 800 7FF 800 7FE 7FF 7FE 7FF 804 808 817 832 79C 7C8 7E7 7F9 
 1.02000E-04 801 800 7FD 800 7FE 7FF 7FE 7FF 803 807 816 836 788 7C5 7E8 7FA 
 1.02250E-04 801 800 7FB 7FF 7FE 800 7FE 7FF 803 806 816 838 778 7C3 7EA 7FB 
 1.02500E-04 801 7FF 7F8 7FF 7FE 800 7FE 800 802 805 814 837 76F 7C3 7ED 7FD 
 1.02750E-04 801 7FF 7F4 7FF 7FE 800 7FE 800 801 804 812 837 767 7C4 7EF 7FE 
 1.03000E-04 800 7FF 7F1 7FE 7FE 800 7FE 800 800 803 810 837 75E 7C5 7F2 7FF 
 1.03250E-04 800 7FF 7ED 7FE 7FE 801 7FF 800 800 802 80D 835 75B 7C7 7F5 800 
 1.03500E-04 800 7FE 7E7 7FE 7FF 801 7FF 800 7FF 801 80A 831 766 7CC 7F8 801 
 1.03750E-04 800 7FE 7E0 7FE 7FF 801 7FF 801 7FF 800 807 82C 771 7D1 7FC 802 
 1.04000E-04 800 7FE 7DA 7FE 7FF 801 7FF 801 7FE 7FF 804 828 77B 7D6 7FF 803 
 1.04250E-04 7FF 7FE 7D4 7FE 7FF 801 7FF 801 7FE 7FE 801 823 786 7DC 803 804 
 1.04500E-04 7FF 7FE 7CE 7FE 800 801 800 801 7FD 7FD 7FE 81F 791 7E1 806 805 
 1.04750E-04 7FF 7FE 7C8 7FE 800 801 800 801 7FD 7FC 7FB 81A 79C 7E6 80A 806 
 1.05000E-04 7FF 7FE 7C2 7FD 800 802 800 801 7FC 7FB 7F8 816 7A6 7EB 80D 807 
 1.05250E-04 7FF 7FE 7BA 7FD 800 801 800 801 7FC 7FA 7F5 80F 7BF 7F2 810 807 
 1.05500E-04 7FE 7FE 7B2 7FE 801 801 801 801 7FC 7FA 7F2 809 7D9 7F9 813 807 
 1.05750E-04 7FE 7FE 7AB 7FE 801 801 801 801 7FC 7F9 7EF 802 7F4 800 815 807 
 1.06000E-04 7FE 7FE 7A3 7FE 801 801 801 801 7FC 7F9 7ED 7FD 80E 806 817 807 
 1.06250E-04 7FE 7FE 79B 7FE 801 801 801 801 7FC 7F9 7EB 7F8 828 80B 818 806 
 1.06500E-04 7FE 7FE 793 7FF 801 801 801 801 7FD 7F9 7EB 7F5 83E 80D 818 805 
 1.06750E-04 7FE 7FF 78B 7FF 801 800 801 800 7FD 7FA 7EA 7F3 854 810 818 805 
 1.07000E-04 7FE 7FF 783 7FF 801 800 801 800 7FE 7FA 7EA 7F0 86A 813 817 804 
 1.07250E-04 7FE 7FF 77C 7FF 801 800 801 800 7FF 7FB 7EC 7F2 872 810 815 802 
 1.07500E-04 7FE 800 775 800 801 7FF 801 800 7FF 7FC 7EE 7F5 879 80D 812 801 
 1.07750E-04 7FE 800 76E 800 801 7FF 801 7FF 800 7FD 7EF 7F7 881 80A 80F 800 
 1.08000E-04 7FE 800 767 800 801 7FF 801 7FF 801 7FE 7F1 7FA 888 807 80D 7FF 
 1.08250E-04 7FF 800 75F 801 801 7FF 800 7FF 801 7FF 7F3 7FC 890 803 80A 7FD 
